steps,timer_ciph_comp_vec_LW,timer_ciph_conf_vec_LW,timer_plain_comp_vec_LW,timer_plain_conf_vec_LW
1.0,30.324410227,231.26341149700002,0.0,0.001083074
2.0,63.989969637,231.26341149700002,0.00025318800000000054,0.001083074
3.0,96.163973306,231.26341149700002,0.0004836150000000006,0.001083074
4.0,127.04244799300001,231.26341149700002,0.0007098819999999994,0.001083074
5.0,156.390580884,231.26341149700002,0.0009364889999999996,0.001083074
6.0,184.370730008,231.26341149700002,0.0011654459999999997,0.001083074
7.0,211.084641962,231.26341149700002,0.0013910930000000004,0.001083074
8.0,234.007069588,231.26341149700002,0.0016131499999999998,0.001083074
9.0,255.294462355,231.26341149700002,0.001844427,0.001083074
10.0,275.45441420400005,231.26341149700002,0.0020688239999999995,0.001083074
11.0,294.302896068,231.26341149700002,0.0022983609999999996,0.001083074
12.0,311.961400271,231.26341149700002,0.0025234080000000004,0.001083074
13.0,328.29412613200003,231.26341149700002,0.0027516349999999997,0.001083074
14.0,343.35154194,231.26341149700002,0.002977612,0.001083074
15.0,357.119333169,231.26341149700002,0.0032092199999999996,0.001083074
16.0,367.906852746,231.26341149700002,0.0034304459999999993,0.001083074
17.0,377.605830051,231.26341149700002,0.0036573829999999993,0.001083074
18.0,386.242427205,231.26341149700002,0.003925812,0.001083074
19.0,393.918218395,231.26341149700002,0.0041549690000000005,0.001083074
20.0,400.622153142,231.26341149700002,0.004385526,0.001083074
21.0,599.9703016530001,231.26341149700002,0.004622983,0.001083074
22.0,618.0442401170001,231.26341149700002,0.004861611000000001,0.001083074
23.0,634.892090269,231.26341149700002,0.0051005980000000005,0.001083074
24.0,650.578752204,231.26341149700002,0.005336115,0.001083074
25.0,665.0062416410001,231.26341149700002,0.005565012,0.001083074
26.0,676.480276947,231.26341149700002,0.005810730000000001,0.001083074
27.0,686.82873752,231.26341149700002,0.006051477,0.001083074
28.0,695.990041881,231.26341149700002,0.006279964,0.001083074
29.0,704.133291375,231.26341149700002,0.006514291000000001,0.001083074
30.0,711.3685782990001,231.26341149700002,0.0067463589999999995,0.001083074
31.0,908.71354752,231.26341149700002,0.0069886060000000005,0.001083074
32.0,926.7513377880001,231.26341149700002,0.007234684000000001,0.001083074
33.0,943.636403682,231.26341149700002,0.007478711,0.001083074
34.0,959.2301701370001,231.26341149700002,0.0077200490000000005,0.001083074
35.0,973.6143474710001,231.26341149700002,0.007980247,0.001083074
36.0,985.1558532880001,231.26341149700002,0.008215603999999998,0.001083074
37.0,995.366012894,231.26341149700002,0.008454640999999999,0.001083074
38.0,1004.4603110700001,231.26341149700002,0.008698518999999998,0.001083074
39.0,1012.615609046,231.26341149700002,0.008939656,0.001083074
40.0,1019.7803172460001,231.26341149700002,0.009174143999999999,0.001083074
41.0,1218.646654439,231.26341149700002,0.009419061,0.001083074
42.0,1236.827559607,231.26341149700002,0.009656818000000001,0.001083074
43.0,1253.758580243,231.26341149700002,0.009902496,0.001083074
44.0,1269.396276168,231.26341149700002,0.010136982999999999,0.001083074
45.0,1283.7563484890002,231.26341149700002,0.010369631,0.001083074
46.0,1295.232691611,231.26341149700002,0.010599847999999999,0.001083074
47.0,1305.47828112,231.26341149700002,0.010843434999999998,0.001083074
48.0,1314.604324912,231.26341149700002,0.011079153000000001,0.001083074
49.0,1322.764163712,231.26341149700002,0.011314169999999998,0.001083074
50.0,1329.929114987,231.26341149700002,0.011551077,0.001083074
51.0,1529.809468527,231.26341149700002,0.011781054,0.001083074
52.0,1547.927775411,231.26341149700002,0.012023912000000001,0.001083074
53.0,1564.880275923,231.26341149700002,0.012259129,0.001083074
54.0,1580.467862633,231.26341149700002,0.012497946,0.001083074
55.0,1594.903563537,231.26341149700002,0.012732344,0.001083074
56.0,1606.3866609240001,231.26341149700002,0.012969750999999998,0.001083074
57.0,1616.6427296880001,231.26341149700002,0.013199458,0.001083074
58.0,1625.738505047,231.26341149700002,0.013435485,0.001083074
59.0,1633.8859542710002,231.26341149700002,0.013672742000000002,0.001083074
60.0,1641.053860337,231.26341149700002,0.013892348999999998,0.001083074
61.0,1840.659167618,231.26341149700002,0.014124856000000002,0.001083074
62.0,1858.739319471,231.26341149700002,0.014363154,0.001083074
63.0,1875.5652267710002,231.26341149700002,0.014595881000000002,0.001083074
64.0,1891.1313407270002,231.26341149700002,0.014837458000000001,0.001083074
65.0,1905.4375388940002,231.26341149700002,0.015073326000000001,0.001083074
66.0,1916.8878770180002,231.26341149700002,0.015309522999999998,0.001083074
67.0,1927.153213986,231.26341149700002,0.015539299999999999,0.001083074
68.0,1936.2819412130002,231.26341149700002,0.015771007,0.001083074
69.0,1944.413415856,231.26341149700002,0.016042535,0.001083074
70.0,1951.5641736670002,231.26341149700002,0.016272283,0.001083074
71.0,2150.4760162790003,231.26341149700002,0.01650455,0.001083074
72.0,2168.709185513,231.26341149700002,0.016736557,0.001083074
73.0,2185.7476612610003,231.26341149700002,0.016974274,0.001083074
74.0,2201.337250069,231.26341149700002,0.017210892,0.001083074
75.0,2215.789044166,231.26341149700002,0.017447699,0.001083074
76.0,2227.350061777,231.26341149700002,0.017672106,0.001083074
77.0,2237.601678777,231.26341149700002,0.017899063,0.001083074
78.0,2246.74214179,231.26341149700002,0.01812036,0.001083074
79.0,2254.924572787,231.26341149700002,0.018346517,0.001083074
80.0,2262.118201872,231.26341149700002,0.018578994,0.001083074
81.0,2459.271928211,231.26341149700002,0.018811311,0.001083074
82.0,2477.240525216,231.26341149700002,0.019052389,0.001083074
83.0,2493.9665197970003,231.26341149700002,0.019287536,0.001083074
