length,sol_ciph_FD,sol_ciph_LW,sol_exact
64.0,-0.09750180520267589,-3.41353966078615e-5,5.99903913064743e-32
64.0,-0.09703196464192859,0.0007086728632990326,2.4007275433234645e-17
64.0,-0.0956275887644919,0.001443000812188228,4.778334768033569e-17
64.0,-0.09330311430255421,0.002163718118940562,7.109924016824e-17
64.0,-0.09007986902069322,0.002865226548036276,9.373040810652612e-17
64.0,-0.08598920168989466,0.0035378052955229045,1.1545890097649313e-16
64.0,-0.08107025667192437,0.004176837051941052,1.36075461513801e-16
64.0,-0.07536959280291856,0.0047776378902929795,1.5538154097031725e-16
64.0,-0.06894361864670069,0.0053290602112552885,1.731912112470987e-16
64.0,-0.06185410538419956,0.005827920471188719,1.8933295548362402e-16
64.0,-0.0541682430656797,0.006269940761734953,2.036513198589206e-16
64.0,-0.0459615474956678,0.006655830578940384,2.1600841069683996e-16
64.0,-0.037311538961540214,0.006973723046293882,2.2628522245754005e-16
64.0,-0.02830242598132779,0.007231386761194834,2.3438278382588863e-16
64.0,-0.019021037245616653,0.00741854159405234,2.402231108593311e-16
64.0,-0.009556217697854573,0.007531103570189199,2.437499580158879e-16
64.0,-3.896629254538056e-7,0.007569433255273239,2.4492935982947064e-16
64.0,0.009557717392545335,0.007532581813353862,2.437499580158879e-16
64.0,0.019022254212495288,0.007429661912381025,2.4022311085933105e-16
64.0,0.028303473501499445,0.007253489253922297,2.3438278382588863e-16
64.0,0.03731268152400682,0.007008612241830788,2.2628522245754e-16
64.0,0.0459624816744933,0.006691155885377206,2.1600841069683993e-16
64.0,0.05416857228678229,0.006314570433986269,2.0365131985892056e-16
64.0,0.06185394292590833,0.005873126882181031,1.8933295548362397e-16
64.0,0.06894391283609518,0.005375176196537827,1.7319121124709863e-16
64.0,0.07536992941621096,0.00482729712744,1.553815409703171e-16
64.0,0.08107009118058123,0.00423489812462289,1.3607546151380094e-16
64.0,0.08598935205160539,0.0035984123061559756,1.1545890097649306e-16
64.0,0.09008032513832148,0.002929499870840544,9.373040810652593e-17
64.0,0.09330369053925655,0.002233320091680772,7.10992401682399e-17
64.0,0.09562864532422462,0.0015113496547090287,4.7783347680335604e-17
64.0,0.0970328886260279,0.0007757161186040815,2.4007275433234664e-17
64.0,0.09750138006972624,3.2594699615892786e-5,-2.999519565323715e-32
64.0,0.09703219059207972,-0.0007073653244612537,-2.4007275433234722e-17
64.0,0.09562744563731937,-0.001440106235303752,-4.778334768033566e-17
64.0,0.0933031753511257,-0.0021621425812776854,-7.109924016823997e-17
64.0,0.09007951020371191,-0.0028614376452318372,-9.3730408106526e-17
64.0,0.08598937773415367,-0.0035349325528081237,-1.154589009764931e-16
64.0,0.08106980401942704,-0.004177587313063452,-1.36075461513801e-16
64.0,0.07536909578222471,-0.004774131788129473,-1.5538154097031715e-16
64.0,0.06894428570561965,-0.005325530130108633,-1.7319121124709868e-16
64.0,0.06185387150492358,-0.005826721485804845,-1.8933295548362407e-16
64.0,0.054168770731605954,-0.00627345028965495,-2.0365131985892058e-16
64.0,0.04596167317502408,-0.006657985876193952,-2.1600841069683996e-16
64.0,0.037311253366209655,-0.006980156008220084,-2.2628522245754005e-16
64.0,0.02830287391431751,-0.007232068292407571,-2.3438278382588863e-16
64.0,0.019020994477090457,-0.0074156900503418765,-2.402231108593311e-16
64.0,0.009556942380797913,-0.007527249952690782,-2.437499580158879e-16
64.0,1.9632587457684857e-7,-0.007565440104077355,-2.4492935982947064e-16
64.0,-0.00955651503771562,-0.007534679911865374,-2.437499580158879e-16
64.0,-0.019021535972839475,-0.0074293022365881,-2.402231108593311e-16
64.0,-0.02830320100275826,-0.0072529787738636825,-2.3438278382588863e-16
64.0,-0.037312500595287186,-0.007005020557160176,-2.2628522245754005e-16
64.0,-0.04596196470982782,-0.006692010753284848,-2.1600841069683993e-16
64.0,-0.054169381355432665,-0.006314264249929978,-2.0365131985892056e-16
