mult_depth_range,LW_error_vec,LW_comp_time_vec
5,3.460068602056943e-5,10113.365476798
7,1.9483235551343014e-5,6501.820749623001
9,1.2625138866573238e-5,5569.373729833001
11,1.0989073219835888e-5,5077.280753507001
13,1.1439546835023684e-5,4886.022342718
15,9.629892279039431e-6,4950.455148775
17,8.757899374808864e-6,4945.506440404
19,7.200495842463184e-6,4929.982598204
21,6.579724002087062e-6,5193.920363055
23,6.6085478552802e-6,5277.15834093
25,6.329596431098317e-6,5482.437638657
