$N_x=N_y$,$L2_{mean}$,$EOC$
32,0.010716827043665672,-
64,0.0026772319014215355,2.001063811352437
128,0.0006692634441116659,2.000095990402254
256,0.00016742790885090905,1.9990341816089987
mean,-,2.00006466112123
