steps,timer_ciph_comp_vec_FD,timer_ciph_conf_vec_FD,timer_ciph_comp_vec_LW,timer_ciph_conf_vec_LW,timer_plain_comp_vec_FD,timer_plain_conf_vec_FD,timer_plain_comp_vec_LW,timer_plain_conf_vec_LW
1.0,7.219625944000001,170.128432279,29.246539861000002,220.81059032500002,0.0,0.0012759070000000002,0.0,0.001023071
2.0,16.073981955,170.128432279,61.95600674200001,220.81059032500002,5.116100000000009e-5,0.0012759070000000002,0.00019248400000000058,0.001023071
3.0,24.557777428,170.128432279,93.23167834300001,220.81059032500002,9.723200000000005e-5,0.0012759070000000002,0.00037757700000000047,0.001023071
4.0,32.630663943,170.128432279,123.100119734,220.81059032500002,0.00014461300000000003,0.0012759070000000002,0.0005648610000000007,0.001023071
5.0,40.285642321000005,170.128432279,151.728172668,220.81059032500002,0.00019104400000000046,0.0012759070000000002,0.0007492750000000006,0.001023071
6.0,47.554143446000005,170.128432279,178.982807506,220.81059032500002,0.00023776500000000002,0.0012759070000000002,0.0009353380000000008,0.001023071
7.0,54.452048526000006,170.128432279,204.862801034,220.81059032500002,0.0002841660000000006,0.0012759070000000002,0.0011202520000000004,0.001023071
8.0,60.626739271000005,170.128432279,227.143446834,220.81059032500002,0.000330187,0.0012759070000000002,0.0013140160000000012,0.001023071
9.0,66.233956617,170.128432279,247.84507940900002,220.81059032500002,0.0003741380000000004,0.0012759070000000002,0.0015049199999999999,0.001023071
10.0,71.53689144500001,170.128432279,267.44651373,220.81059032500002,0.0004216290000000006,0.0012759070000000002,0.0016871839999999996,0.001023071
11.0,76.490657221,170.128432279,286.165376154,220.81059032500002,0.0004686600000000001,0.0012759070000000002,0.001870987000000001,0.001023071
12.0,81.14075897000001,170.128432279,303.589557322,220.81059032500002,0.0005167210000000004,0.0012759070000000002,0.002059241,0.001023071
13.0,85.41146757,170.128432279,319.77844254300004,220.81059032500002,0.0005629420000000003,0.0012759070000000002,0.002246495000000001,0.001023071
14.0,89.30861230100001,170.128432279,334.77779276,220.81059032500002,0.0006086530000000007,0.0012759070000000002,0.002433388,0.001023071
15.0,92.820467331,170.128432279,348.49422113500003,220.81059032500002,0.0006586840000000005,0.0012759070000000002,0.002623432,0.001023071
16.0,95.646742895,170.128432279,359.233215812,220.81059032500002,0.0007069960000000005,0.0012759070000000002,0.002810186000000001,0.001023071
17.0,98.16001694600001,170.128432279,368.870415625,220.81059032500002,0.0007571270000000007,0.0012759070000000002,0.0030009700000000004,0.001023071
18.0,100.420894038,170.128432279,377.44922453600003,220.81059032500002,0.0008029780000000002,0.0012759070000000002,0.0031877940000000007,0.001023071
19.0,102.374774125,170.128432279,385.076166769,220.81059032500002,0.0008493090000000003,0.0012759070000000002,0.003452799000000001,0.001023071
20.0,104.085085922,170.128432279,391.74759207100004,220.81059032500002,0.0008982900000000004,0.0012759070000000002,0.0036387629999999997,0.001023071
21.0,105.493534904,170.128432279,500.46699625,220.81059032500002,0.0009449510000000003,0.0012759070000000002,0.0038301460000000013,0.001023071
22.0,200.624295988,170.128432279,518.8749543910001,220.81059032500002,0.0009917520000000003,0.0012759070000000002,0.004017030000000001,0.001023071
23.0,205.557330682,170.128432279,536.137364466,220.81059032500002,0.0010402030000000008,0.0012759070000000002,0.004207584,0.001023071
24.0,210.16702903100003,170.128432279,552.180083072,220.81059032500002,0.0011143840000000004,0.0012759070000000002,0.004399508,0.001023071
25.0,214.38334372,170.128432279,567.0688130880001,220.81059032500002,0.0011622150000000003,0.0012759070000000002,0.004590862000000001,0.001023071
26.0,218.3036786,170.128432279,580.642997521,220.81059032500002,0.0012087060000000004,0.0012759070000000002,0.004781325000000001,0.001023071
27.0,221.800508113,170.128432279,591.3383631270001,220.81059032500002,0.0012541770000000004,0.0012759070000000002,0.004968609000000001,0.001023071
28.0,224.61870612,170.128432279,600.886635082,220.81059032500002,0.0013020180000000003,0.0012759070000000002,0.005158643000000001,0.001023071
29.0,227.147319419,170.128432279,609.467548996,220.81059032500002,0.0013499390000000005,0.0012759070000000002,0.005347127,0.001023071
30.0,229.3955323,170.128432279,617.062364933,220.81059032500002,0.0013977500000000006,0.0012759070000000002,0.005540150000000001,0.001023071
31.0,231.344872411,170.128432279,623.724328383,220.81059032500002,0.0014459810000000007,0.0012759070000000002,0.005723654,0.001023071
32.0,233.053012001,170.128432279,731.976601636,220.81059032500002,0.0014947030000000009,0.0012759070000000002,0.005909198000000001,0.001023071
33.0,234.456481899,170.128432279,750.550973505,220.81059032500002,0.0015439140000000004,0.0012759070000000002,0.006106762,0.001023071
34.0,329.59020306,170.128432279,767.9053231590001,220.81059032500002,0.0015909550000000007,0.0012759070000000002,0.006294875,0.001023071
35.0,334.51361712000005,170.128432279,784.029604382,220.81059032500002,0.0016389960000000002,0.0012759070000000002,0.006479319000000001,0.001023071
36.0,339.160923893,170.128432279,798.896984351,220.81059032500002,0.0016860370000000005,0.0012759070000000002,0.0066674230000000004,0.001023071
37.0,343.439627339,170.128432279,812.5030755700001,220.81059032500002,0.0017344980000000001,0.0012759070000000002,0.006851857000000001,0.001023071
38.0,347.385308994,170.128432279,823.2287869170001,220.81059032500002,0.0017821590000000002,0.0012759070000000002,0.007039160000000001,0.001023071
39.0,350.896279932,170.128432279,832.932119208,220.81059032500002,0.0018301600000000008,0.0012759070000000002,0.0072303340000000015,0.001023071
40.0,353.708537551,170.128432279,841.4996985370001,220.81059032500002,0.0018767710000000002,0.0012759070000000002,0.007429568000000001,0.001023071
