$N_x=N_y$,$L2_{mean}$,$EOC$
32,0.18810018648295893,-
64,0.10660836472922396,0.8191806395556767
128,0.056937660676597085,0.9048655143163916
256,0.029448307131110213,0.9511985186677397
mean,-,0.891748224179936
