length,sol_ciph_LW,sol_exact
64.0,-3.520717551475311e-5,5.99903913064743e-32
64.0,0.0007067744146368245,2.4007275433234645e-17
64.0,0.001441949384149384,4.778334768033569e-17
64.0,0.0021632375901572565,7.109924016824e-17
64.0,0.0028636926354264815,9.373040810652612e-17
64.0,0.003536568758816508,1.1545890097649313e-16
64.0,0.004175385796842498,1.36075461513801e-16
64.0,0.004773991573075638,1.5538154097031725e-16
64.0,0.005326621216501523,1.731912112470987e-16
64.0,0.005827952568647293,1.8933295548362402e-16
64.0,0.006273157560708904,2.036513198589206e-16
64.0,0.0066579486147017,2.1600841069683996e-16
64.0,0.006978619982716964,2.2628522245754005e-16
64.0,0.007232083430014181,2.3438278382588863e-16
64.0,0.007415897957897102,2.402231108593311e-16
64.0,0.0075282933330164835,2.437499580158879e-16
64.0,0.007568187134609023,2.4492935982947064e-16
64.0,0.007535195153278575,2.437499580158879e-16
64.0,0.007429635122172145,2.4022311085933105e-16
64.0,0.007252523637943782,2.3438278382588863e-16
64.0,0.0070055663919760935,2.2628522245754e-16
64.0,0.006691141708930954,2.1600841069683993e-16
64.0,0.006312277673472217,2.0365131985892056e-16
64.0,0.0058726229609413795,1.8933295548362397e-16
64.0,0.005376411676161185,1.7319121124709863e-16
64.0,0.004828422599804779,1.553815409703171e-16
64.0,0.004233933182240078,1.3607546151380094e-16
64.0,0.0035986686667933043,1.1545890097649306e-16
64.0,0.0029287470127260587,9.373040810652593e-17
64.0,0.002230619922228583,7.10992401682399e-17
64.0,0.0015110107417487591,4.7783347680335604e-17
64.0,0.000776849705851142,2.4007275433234664e-17
64.0,3.5207178029325125e-5,-2.999519565323715e-32
64.0,-0.0007067744201790672,-2.4007275433234722e-17
64.0,-0.0014419493824868869,-4.778334768033566e-17
64.0,-0.002163237591974571,-7.109924016823997e-17
64.0,-0.0028636926407828896,-9.3730408106526e-17
64.0,-0.0035365687596173416,-1.154589009764931e-16
64.0,-0.004175385787431401,-1.36075461513801e-16
64.0,-0.004773991577322144,-1.5538154097031715e-16
64.0,-0.005326621207308623,-1.7319121124709868e-16
64.0,-0.005827952564560514,-1.8933295548362407e-16
64.0,-0.0062731575547699155,-2.0365131985892058e-16
64.0,-0.006657948618192857,-2.1600841069683996e-16
64.0,-0.006978619986075949,-2.2628522245754005e-16
64.0,-0.007232083430663116,-2.3438278382588863e-16
64.0,-0.007415897961363843,-2.402231108593311e-16
64.0,-0.00752829333692722,-2.437499580158879e-16
64.0,-0.00756818713753799,-2.4492935982947064e-16
64.0,-0.007535195153730002,-2.437499580158879e-16
64.0,-0.00742963512160708,-2.402231108593311e-16
64.0,-0.00725252363897712,-2.3438278382588863e-16
64.0,-0.007005566394819859,-2.2628522245754005e-16
64.0,-0.0066911417082674085,-2.1600841069683993e-16
64.0,-0.006312277676094186,-2.0365131985892056e-16
64.0,-0.0058726229635312835,-1.8933295548362402e-16
64.0,-0.005376411670916133,-1.7319121124709863e-16
64.0,-0.0048284226015273615,-1.5538154097031715e-16
64.0,-0.004233933184156288,-1.36075461513801e-16
64.0,-0.003598668669262514,-1.1545890097649306e-16
64.0,-0.0029287470166591205,-9.373040810652597e-17
64.0,-0.0022306199230113003,-7.109924016823996e-17
64.0,-0.0015110107430412016,-4.7783347680335573e-17
64.0,-0.0007768496997771182,-2.4007275433234667e-17
64.0,0.0007067744177575966,2.4007275433234645e-17
64.0,0.011045745547652306,0.009607359798384757
64.0,0.0212783401020239,0.019122195469994035
64.0,0.03130601261500477,0.028452873945971832
64.0,0.041032191115015965,0.03750953569192694
64.0,0.050363207183960194,0.046204960104370744
64.0,0.059209198031703825,0.05445540549280898
64.0,0.06748497194077034,0.06218141555799884
64.0,0.07511082867227568,0.06930858459954568
64.0,0.08201332706696826,0.07576827408347257
64.0,0.08812599229034361,0.08149827366882387
64.0,0.09338995603717716,0.08644340032725614
64.0,0.09775452344642169,0.09055602978576754
64.0,0.10117766135983908,0.09379655517448067
64.0,0.1036264030872206,0.09613376846245078
64.0,0.10507716590065416,0.09754516100806404
64.0,0.10551597817460014,0.0980171403295605
64.0,0.10493861389021805,0.09754516100806404
64.0,0.10335063339024145,0.09613376846245078
64.0,0.10076732979613869,0.09379655517448066
64.0,0.09721358172183857,0.09055602978576753
64.0,0.09272361372633876,0.08644340032725613
64.0,0.08734066663315596,0.08149827366882384
64.0,0.08111658118172121,0.07576827408347254
64.0,0.07411129870289554,0.06930858459954566
64.0,0.06639228391356254,0.062181415557998776
64.0,0.05803387512809551,0.05445540549280895
64.0,0.0491165683963959,0.04620496010437072
64.0,0.039726242275098404,0.037509535691926874
64.0,0.029953330723789463,0.028452873945971794
64.0,0.019891952210352278,0.019122195469994
64.0,0.009639003334391471,0.009607359798384766
64.0,-0.0007067744145782898,-1.2003637716617323e-17
64.0,-0.01104574554156862,-0.009607359798384788
64.0,-0.021278340104855624,-0.019122195469994024
64.0,-0.0313060126110884,-0.028452873945971822
64.0,-0.04103219111239556,-0.037509535691926894
64.0,-0.050363207181347236,-0.04620496010437074
64.0,-0.05920919803019085,-0.05445540549280898
64.0,-0.06748497193575911,-0.0621814155579988
64.0,-0.07511082867215499,-0.06930858459954567
64.0,-0.08201332706381248,-0.07576827408347259
64.0,-0.0881259922856457,-0.08149827366882385
64.0,-0.09338995602515446,-0.08644340032725614
64.0,-0.09775452344390742,-0.09055602978576754
64.0,-0.10117766135386737,-0.09379655517448067
64.0,-0.10362640308289234,-0.09613376846245078
64.0,-0.10507716590611908,-0.09754516100806404
64.0,-0.10551597817333806,-0.0980171403295605
64.0,-0.10493861389283629,-0.09754516100806403
64.0,-0.10335063339174229,-0.09613376846245078
64.0,-0.10076732979334468,-0.09379655517448067
64.0,-0.0972135817266855,-0.09055602978576754
64.0,-0.09272361372057543,-0.08644340032725613
64.0,-0.08734066662872303,-0.08149827366882384
64.0,-0.08111658117488679,-0.07576827408347257
64.0,-0.07411129870132895,-0.06930858459954566
64.0,-0.06639228391555528,-0.0621814155579988
64.0,-0.05803387513307699,-0.05445540549280898
64.0,-0.04911656840615856,-0.04620496010437072
64.0,-0.039726242283993074,-0.03750953569192688
64.0,-0.029953330722632572,-0.028452873945971815
64.0,-0.019891952213851576,-0.01912219546999399
64.0,-0.009639003329585684,-0.009607359798384766
64.0,0.0014419493852937902,4.778334768033569e-17
64.0,0.02127834010931737,0.019122195469994035
64.0,0.04090980877706017,0.0380602337443568
64.0,0.06014729362737514,0.056631731161921085
64.0,0.0788055271584084,0.0746578340503429
64.0,0.09670482038469605,0.09196494118473622
64.0,0.1136727933274299,0.10838637566236986
64.0,0.12954603512774202,0.12376399009235514
64.0,0.14417167779829906,0.13794968964147186
64.0,0.15740886839541127,0.15080685826836998
64.0,0.16913012554096213,0.16221167441072928
64.0,0.17922256712016385,0.17205430345459197
64.0,0.18758899740605173,0.18023995550173738
64.0,0.19414884310063305,0.18668979824821896
64.0,0.19883892930573904,0.19134171618254533
64.0,0.20161408792556235,0.19415090879201194
64.0,0.20244759266753048,0.19509032201612872
64.0,0.20133141641514052,0.19415090879201194
64.0,0.19827630856749795,0.1913417161825453
64.0,0.1933116914793295,0.18668979824821894
64.0,0.18648537713103167,0.18023995550173735
64.0,0.17786310665249433,0.17205430345459194
64.0,0.16752791722566487,0.16221167441072926
