OMP_THREADS,conf_time,comp_time
1,227.67156782,5254.414849333
2,118.98889081,3299.525819028
4,64.329492559,2305.205994043
8,38.178844761,1905.213612878
16,27.422567647,1891.71449028
32,22.418839815000002,1837.5609649760002
64,23.362052836,1825.712815708
