steps,L_inf_cipher_plain_LW,L_inf_cipher_plain_FD
1.0,4.3998138465894954e-13,2.778727768715239e-13
2.0,3.594902153736257e-13,1.9009793739144243e-13
3.0,2.8843594179761567e-13,1.454392162258955e-13
4.0,3.296321549051129e-13,1.3575252033604102e-13
5.0,2.6756374893466273e-13,1.0480505352461478e-13
6.0,2.574607194105738e-13,1.0513812043200232e-13
7.0,2.1871393585115584e-13,1.0269562977782698e-13
8.0,2.4377722063206875e-13,8.737455203799982e-14
9.0,2.396971510165713e-13,7.738254481637341e-14
10.0,2.1698268182213098e-13,8.607003998406526e-14
11.0,2.1749269052406817e-13,9.287015600989434e-14
12.0,2.0328183580886616e-13,7.627232179174825e-14
13.0,2.0339285811132868e-13,7.405187574249794e-14
14.0,2.1083135237631723e-13,7.932543510946743e-14
15.0,1.8599011220032935e-13,6.578071420904053e-14
16.0,2.0200507933054723e-13,6.63358257213531e-14
17.0,2.0550228185811648e-13,5.734301922188934e-14
18.0,1.64923630308067e-13,5.684341886080802e-14
19.0,1.5903944827755367e-13,6.256106743762757e-14
20.0,1.7486012637846216e-13,6.233902283270254e-14
21.0,3.677651957241339e-6,6.09512440519211e-14
22.0,3.7733515975135745e-6,2.2970431131577465e-6
23.0,3.0499926543040012e-6,1.6247425777826674e-6
24.0,2.4538590367439994e-6,1.3652230770322404e-6
25.0,2.466489769981095e-6,1.3490871965116114e-6
26.0,2.659242895441949e-6,1.133443901624176e-6
27.0,2.456264228123395e-6,1.039060464058661e-6
28.0,2.3758681249042013e-6,1.064220040869479e-6
29.0,2.2433252713782714e-6,1.0332758371423e-6
30.0,2.001077631152981e-6,8.383788566157513e-7
31.0,2.127794740069966e-6,8.728635182420064e-7
32.0,3.984681427149361e-6,7.456129138549983e-7
33.0,3.418019206558043e-6,7.939203853224441e-7
34.0,3.434851032491082e-6,2.305669041243602e-6
35.0,3.5801978266469803e-6,2.009464971086672e-6
36.0,3.758275450072013e-6,1.6494169937097958e-6
37.0,3.7853519755937093e-6,1.5382284030418525e-6
