steps,L_inf_cipher_plain_LW
126.0,3.151873650963921e-9
127.0,3.157402450604252e-9
128.0,3.156189531949849e-9
129.0,3.158388106605514e-9
130.0,3.1526080634947107e-9
131.0,3.4413628613449987e-9
132.0,3.442355067662106e-9
133.0,3.442441665058027e-9
134.0,3.4379197266787287e-9
135.0,3.440330242909795e-9
136.0,3.4448088825911327e-9
137.0,3.4422540373668653e-9
138.0,3.4361755663070426e-9
139.0,3.4402931614607724e-9
140.0,3.4417776406669986e-9
141.0,3.7258189866662406e-9
142.0,3.7246012940528317e-9
143.0,3.728283570758606e-9
144.0,3.73001818321228e-9
145.0,3.729894726411942e-9
146.0,3.7232121830044207e-9
147.0,3.7290340815232526e-9
148.0,3.729243580607999e-9
149.0,3.725512565111444e-9
150.0,3.7226619564734165e-9
151.0,4.011158516448177e-9
152.0,4.0174926718705706e-9
153.0,4.020177413188719e-9
154.0,4.0087465569271785e-9
155.0,4.01469602007154e-9
156.0,4.017321808547081e-9
157.0,4.011586174357262e-9
158.0,4.008090082052718e-9
159.0,4.007791876148303e-9
160.0,4.0185903493750175e-9
161.0,4.30211866131458e-9
162.0,4.294608224597596e-9
163.0,4.29588387085289e-9
164.0,4.301597966716031e-9
165.0,4.2984727999240135e-9
166.0,4.295149458322101e-9
167.0,4.297784461648746e-9
168.0,4.299136935337344e-9
169.0,4.3016600281831074e-9
170.0,4.292973976305348e-9
171.0,4.5819186222928465e-9
172.0,4.5861140440806025e-9
173.0,4.583708412830845e-9
174.0,4.581085399912865e-9
175.0,4.5837313944474545e-9
176.0,4.584897350667916e-9
177.0,4.583646129319163e-9
178.0,4.579825740869126e-9
179.0,4.58023396987528e-9
180.0,4.588663338189747e-9
181.0,4.869163738874249e-9
182.0,4.866358871424836e-9
183.0,4.866359204491744e-9
184.0,4.87073814614547e-9
185.0,4.868107805755528e-9
186.0,4.861103408693168e-9
187.0,4.86759932361025e-9
188.0,4.870589265237868e-9
189.0,4.870715719640373e-9
190.0,4.8646728867396405e-9
191.0,5.151194915065105e-9
192.0,5.154482396463322e-9
193.0,5.1591485528135195e-9
194.0,5.14799458617432e-9
195.0,5.153842019822719e-9
196.0,5.158635407731538e-9
197.0,5.159099703000436e-9
198.0,5.148858894798991e-9
199.0,5.152917204043206e-9
200.0,5.158901417168238e-9
201.0,5.440240591347845e-9
202.0,5.432708172214973e-9
203.0,5.4391673387499395e-9
204.0,5.445084494404284e-9
