$N_x$,$L2_{mean}$,$EOC$
32,0.010677063880850162,-
64,0.002674846657869954,1.9969868773751485
128,0.0006690769733117319,1.999212088881309
256,0.00016726633911187493,2.0000250490430593
mean,-,1.9987413384331723
