steps,timer_ciph_comp_vec_FD,timer_ciph_conf_vec_FD,timer_ciph_comp_vec_LW,timer_ciph_conf_vec_LW,timer_plain_comp_vec_FD,timer_plain_conf_vec_FD,timer_plain_comp_vec_LW,timer_plain_conf_vec_LW
1.0,3.015361318,93.27096776200001,4.599869462,100.995707138,0.0,6.611000000000001e-6,0.0,1.251e-5
2.0,6.706980414,93.27096776200001,10.205476369000001,100.995707138,4.6499999999997065e-6,6.611000000000001e-6,1.1240000000000035e-5,1.251e-5
3.0,10.273507621,93.27096776200001,15.610958865,100.995707138,5.649999999999839e-6,6.611000000000001e-6,1.4310000000000017e-5,1.251e-5
4.0,13.760872127,93.27096776200001,20.899928525,100.995707138,6.4799999999996805e-6,6.611000000000001e-6,1.5960000000000193e-5,1.251e-5
5.0,17.140895291,93.27096776200001,26.047762344000002,100.995707138,7.379999999999973e-6,6.611000000000001e-6,1.9560000000000063e-5,1.251e-5
6.0,20.483429473,93.27096776200001,31.076969493000004,100.995707138,8.359999999999791e-6,6.611000000000001e-6,2.1380000000000097e-5,1.251e-5
7.0,23.742255956,93.27096776200001,36.048622178,100.995707138,9.069999999999911e-6,6.611000000000001e-6,2.3879999999999995e-5,1.251e-5
8.0,26.916353777,93.27096776200001,40.825828871000006,100.995707138,9.780000000000032e-6,6.611000000000001e-6,2.6820000000000316e-5,1.251e-5
9.0,29.974014,93.27096776200001,45.436307299000006,100.995707138,1.0800000000000046e-5,6.611000000000001e-6,2.9050000000000083e-5,1.251e-5
10.0,32.965553128,93.27096776200001,49.856019626000005,100.995707138,1.1809999999999685e-5,6.611000000000001e-6,3.065000000000012e-5,1.251e-5
11.0,35.857687459000005,93.27096776200001,54.207227996,100.995707138,1.2840000000000074e-5,6.611000000000001e-6,3.225000000000016e-5,1.251e-5
12.0,38.666014636,93.27096776200001,58.394153064,100.995707138,1.4050999999999734e-5,6.611000000000001e-6,3.359000000000001e-5,1.251e-5
13.0,41.389742203000004,93.27096776200001,62.46854982000001,100.995707138,1.4720999999999658e-5,6.611000000000001e-6,3.502000000000019e-5,1.251e-5
14.0,44.034994268000005,93.27096776200001,66.403041762,100.995707138,1.534099999999988e-5,6.611000000000001e-6,3.68100000000004e-5,1.251e-5
15.0,46.582606402,93.27096776200001,70.252483975,100.995707138,1.6051e-5,6.611000000000001e-6,4.020000000000022e-5,1.251e-5
16.0,48.887674862000004,93.27096776200001,73.542009417,100.995707138,1.6680999999999727e-5,6.611000000000001e-6,4.2240000000000246e-5,1.251e-5
17.0,51.096452449000004,93.27096776200001,76.77782182700001,100.995707138,1.840099999999992e-5,6.611000000000001e-6,4.3950000000000065e-5,1.251e-5
18.0,53.261915863000006,93.27096776200001,79.88232853800001,100.995707138,1.9270999999999958e-5,6.611000000000001e-6,4.565000000000038e-5,1.251e-5
19.0,55.341531007,93.27096776200001,82.95108948100001,100.995707138,1.9960999999999764e-5,6.611000000000001e-6,4.762000000000039e-5,1.251e-5
20.0,57.355553522,93.27096776200001,85.911180613,100.995707138,2.0620999999999747e-5,6.611000000000001e-6,4.910100000000018e-5,1.251e-5
21.0,59.273662271000006,93.27096776200001,88.77079953,100.995707138,2.1371000000000064e-5,6.611000000000001e-6,5.0491000000000164e-5,1.251e-5
22.0,61.13996512600001,93.27096776200001,91.521194311,100.995707138,2.235099999999988e-5,6.611000000000001e-6,5.2921000000000044e-5,1.251e-5
23.0,62.892259997000004,93.27096776200001,94.167885115,100.995707138,2.2990999999999984e-5,6.611000000000001e-6,5.4441000000000125e-5,1.251e-5
24.0,64.60758709000001,93.27096776200001,96.738962548,100.995707138,2.405099999999976e-5,6.611000000000001e-6,5.659100000000037e-5,1.251e-5
25.0,66.21739141100001,93.27096776200001,99.22352515300001,100.995707138,2.567099999999968e-5,6.611000000000001e-6,5.821100000000029e-5,1.251e-5
26.0,67.77849467200001,93.27096776200001,101.573701118,100.995707138,2.6481000000000074e-5,6.611000000000001e-6,5.959100000000033e-5,1.251e-5
27.0,69.24901761000001,93.27096776200001,103.84477399400001,100.995707138,2.754099999999985e-5,6.611000000000001e-6,6.249100000000002e-5,1.251e-5
28.0,70.713683124,93.27096776200001,105.995501085,100.995707138,2.8500999999999787e-5,6.611000000000001e-6,6.381099999999999e-5,1.251e-5
29.0,72.034542347,93.27096776200001,108.04860577400001,100.995707138,2.923099999999979e-5,6.611000000000001e-6,6.579100000000037e-5,1.251e-5
30.0,73.33059449000001,93.27096776200001,110.01409721600001,100.995707138,2.988099999999983e-5,6.611000000000001e-6,6.781100000000009e-5,1.251e-5
31.0,74.392539332,93.27096776200001,111.60932712,100.995707138,3.0510999999999993e-5,6.611000000000001e-6,6.926100000000015e-5,1.251e-5
