$N_x$,$L2_{mean}$,$EOC$
32,0.1012032661785507,-
64,0.052493867404954715,0.9470350566144811
128,0.026746499406462166,0.9727988064913613
256,0.013502385863041944,0.9861357302089674
mean,-,0.9686565311049367
