mult_depth_range,LW_time_step_openFHE,FD_time_step_openFHE,LW_time_step_plain,FD_time_step_plain
5,12.500060349333333,-,-,-
7,8.804121385,-,-,-
9,7.364188004714286,-,-,-
11,6.4087026646666665,-,-,-
13,6.1095594410909095,-,-,-
15,5.7454215792307695,-,-,-
17,5.537548672000001,-,-,-
19,5.435934060000001,-,-,-
21,5.376710483,-,-,-
23,5.311448908761905,-,-,-
25,5.277535737652174,4.674310074043478,1.2055449000000002e-6, 6.851617000000001e-7
